Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Bayonne;Brandon FAJARDO;Ouverture;Demi;25/06/1994;181;77;2;;FALSE
Bayonne;Manuel ORDAS;Ouverture;Demi;21/02/1998;186;83;2;;FALSE
Bayonne;Alofa ALOFA;Centre;Trois-Quarts;12/03/1991;185;95;2;;FALSE
Bayonne;Callum WILSON;Centre;Trois-Quarts;28/10/1990;182;95;2;;FALSE
Bayonne;Maile MAMAO;Centre;Trois-Quarts;07/01/1996;187;117;2;;FALSE
Bayonne;Malietoa HINGANO;Centre;Trois-Quarts;27/01/1992;180;95;2;;FALSE
Bayonne;Peyo MUSCARDITZ;Centre;Trois-Quarts;02/01/1996;174;88;2;;FALSE
Bayonne;Romain BARTHÉLÉMY;Centre;Trois-Quarts;25/01/1990;186;97;2;;FALSE
Bayonne;Arthur DUHAU;Ailier;Trois-Quarts;09/08/1997;181;86;2;;FALSE
Bayonne;Djibril CAMARA;Ailier;Trois-Quarts;22/06/1989;183;90;2;;FALSE
Bayonne;Sean ROBINSON;Ailier;Trois-Quarts;02/11/1993;181;90;2;;FALSE
Bayonne;Aymeric LUC;Arrière;Arrière;14/10/1997;180;76;2;;FALSE
Bayonne;Johannes Petrus GRAAFF;Arrière;Arrière;10/09/1989;179;77;2;;FALSE
Bayonne;Julien TISSERON;Arrière;Arrière;12/08/1995;182;82;2;;FALSE
Bordeaux;Jefferson POIROT;Pilier;Avant;01/11/1992;181;117;3;;FALSE
Bordeaux;Lasha TABIDZE;Pilier;Avant;04/07/1997;185;117;3;;FALSE
Bordeaux;Laurent DELBOULBÈS;Pilier;Avant;17/11/1986;181;106;3;;FALSE
Bordeaux;Lekso KAULASHVILI;Pilier;Avant;27/08/1992;187;120;3;;FALSE
Bordeaux;Peni RAVAI;Pilier;Avant;16/06/1990;185;119;3;;FALSE
Bordeaux;Thierry PAÏVA;Pilier;Avant;19/11/1995;184;125;3;;FALSE
Bordeaux;Vadim COBILAS;Pilier;Avant;30/07/1983;180;118;3;;FALSE
Bordeaux;Adrien PÉLISSIÉ;Talonneur;Avant;07/08/1990;181;110;3;;FALSE
Bordeaux;Clément MAYNADIER;Talonneur;Avant;11/10/1988;187;100;3;;FALSE
Bordeaux;Alexandre FLANQUART;2ème ligne;2ème ligne;09/10/1989;204;120;3;;FALSE
Bordeaux;Cyril CAZEAUX;2ème ligne;2ème ligne;10/02/1995;198;113;3;;FALSE
Bordeaux;Jandré MARAIS;2ème ligne;2ème ligne;14/06/1989;198;118;3;;FALSE
Bordeaux;Kane DOUGLAS;2ème ligne;2ème ligne;01/06/1989;202;123;3;;FALSE
Bordeaux;Masalosalo TUTAIA;2ème ligne;2ème ligne;05/06/1984;204;125;3;;FALSE
Bordeaux;Afa AMOSA;3ème ligne;3ème ligne;11/10/1990;187;112;3;;FALSE
Bordeaux;Alexandre ROUMAT;3ème ligne;3ème ligne;27/06/1997;198;104;3;;FALSE
Bordeaux;Béka GORGADZE;3ème ligne;3ème ligne;08/02/1996;189;105;3;;FALSE
Bordeaux;Cameron WOKI;3ème ligne;3ème ligne;07/11/1998;196;103;3;;FALSE
Bordeaux;Mahamadou DIABY;3ème ligne;3ème ligne;15/08/1990;188;105;3;;FALSE
Bordeaux;Marco TAULEIGNE;3ème ligne;3ème ligne;30/08/1993;191;115;3;;FALSE
Bordeaux;Scott HIGGINBOTHAM;3ème ligne;3ème ligne;05/09/1986;195;110;3;;FALSE
Bordeaux;Maxime LUCU;Mêlée;Demi;12/01/1993;177;79;3;;FALSE
Bordeaux;Yann LESGOURGUES;Mêlée;Demi;17/01/1991;174;71;3;;FALSE
Bordeaux;Ben BOTICA;Ouverture;Demi;07/10/1989;178;93;3;;FALSE
Bordeaux;Lucas MÉRET;Ouverture;Demi;30/01/1995;178;85;3;;FALSE
Bordeaux;Matthieu JALIBERT;Ouverture;Demi;06/11/1998;180;79;3;;FALSE
Bordeaux;Jean-Baptiste DUBIÉ;Centre;Trois-Quarts;16/07/1989;181;85;3;;FALSE
Bordeaux;Rémi LAMERAT;Centre;Trois-Quarts;14/01/1990;184;105;3;;FALSE
Bordeaux;Semi RADRADRA;Centre;Trois-Quarts;13/06/1992;188;102;3;;FALSE
Bordeaux;Seta TAMANIVALU;Centre;Trois-Quarts;23/07/1992;189;110;3;;FALSE
